repository_name,repository_owner,file_name,file_creator,all_creator_names,line_count,created_by,creation_date,commit_count
vercel/turborepo,vercel,crates/turborepo-lockfiles/fixtures/pnpm-10-patch.lock,devin-ai-integration[bot],"['devin-ai-integration[bot]', 'GitHub']",76,AI,2025-05-07T18:11:02+00:00,1
vercel/turborepo,vercel,crates/turborepo-signals/src/listeners.rs,Chris Olszewski,"['Chris Olszewski', 'GitHub']",37,Human,2025-02-27T18:19:31+00:00,3
microsoft/graphrag,microsoft,tests/unit/logger/test_standard_logging.py,Copilot,"['Copilot', 'GitHub']",199,AI,2025-07-10T00:29:03+00:00,3
microsoft/graphrag,microsoft,graphrag/logger/standard_logging.py,Copilot,"['Copilot', 'GitHub']",153,AI,2025-07-10T00:29:03+00:00,3
microsoft/graphrag,microsoft,.semversioner/next-release/patch-20250611170907043237.json,Copilot,"['Copilot', 'GitHub']",4,AI,2025-07-10T00:29:03+00:00,2
microsoft/graphrag,microsoft,unified-search-app/uv.lock,Copilot,"['Copilot', 'GitHub']",2988,AI,2025-08-14T00:57:25+00:00,1
microsoft/graphrag,microsoft,.semversioner/next-release/minor-20250521041234833898.json,Copilot,"['Copilot', 'GitHub']",4,AI,2025-07-10T18:08:44+00:00,2
microsoft/graphrag,microsoft,.semversioner/next-release/patch-20250519191613388970.json,Copilot,"['Copilot', 'GitHub']",4,AI,2025-05-20T22:34:28+00:00,2
microsoft/graphrag,microsoft,uv.lock,Copilot,"['Copilot', 'GitHub']",4166,AI,2025-08-14T00:57:25+00:00,8
microsoft/graphrag,microsoft,.semversioner/next-release/minor-20250728163653403774.json,Copilot,"['Copilot', 'GitHub']",4,AI,2025-08-14T00:57:25+00:00,2
microsoft/graphrag,microsoft,tests/unit/logger/__init__.py,Copilot,"['Copilot', 'GitHub']",4,AI,2025-07-10T00:29:03+00:00,2
microsoft/graphrag,microsoft,graphrag/index/reporting/file_workflow_callbacks.py,Alonso Guevara,['Alonso Guevara'],67,Human,2024-07-01T21:25:30+00:00,5
microsoft/graphrag,microsoft,tests/integration/llm/__init__.py,Alonso Guevara,"['Alonso Guevara', 'GitHub']",2,Human,2025-02-20T14:56:20+00:00,2
microsoft/graphrag,microsoft,graphrag/config/input_models/storage_config_input.py,Alonso Guevara,['Alonso Guevara'],18,Human,2024-07-01T21:25:30+00:00,3
microsoft/graphrag,microsoft,.semversioner/next-release/patch-20250213222251109897.json,Alonso Guevara,"['Alonso Guevara', 'GitHub']",4,Human,2025-02-13T23:32:54+00:00,2
microsoft/graphrag,microsoft,docs/examples_notebooks/inputs/operation dulce/lancedb/default-entity-description.lance/data/eabd7580-86f5-4022-8aa7-fe0aff816d98.lance,Nathan Evans,"['Nathan Evans', 'GitHub']",2411,Human,2025-03-12T00:23:49+00:00,1
microsoft/graphrag,microsoft,.semversioner/next-release/patch-20250430001238698062.json,Nathan Evans,"['Nathan Evans', 'GitHub']",4,Human,2025-04-30T01:18:49+00:00,2
microsoft/graphrag,microsoft,unified-search-app/app/ui/report_details.py,gaudyb,"['gaudyb', 'GitHub']",98,Human,2025-04-07T17:59:02+00:00,1
microsoft/graphrag,microsoft,tests/verbs/data/entities.parquet,Nathan Evans,"['Nathan Evans', 'GitHub']",1548,Human,2025-02-07T19:11:03+00:00,5
microsoft/graphrag,microsoft,graphrag/index/graph/extractors/graph/prompts.py,Alonso Guevara,['Alonso Guevara'],107,Human,2024-07-01T21:25:30+00:00,3
invoke-ai/InvokeAI,invoke-ai,invokeai/frontend/web/src/features/parameters/components/Upscale/ParamTileControlNetModel.tsx,Cursor Agent,"['Cursor Agent', 'psychedelicious']",38,AI,2025-06-29T20:04:55+00:00,6
invoke-ai/InvokeAI,invoke-ai,invokeai/frontend/web/src/features/system/components/VideosModal/PlaylistCard.tsx,Cursor Agent,"['Cursor Agent', 'psychedelicious']",33,AI,2025-07-07T16:28:34+00:00,2
invoke-ai/InvokeAI,invoke-ai,invokeai/frontend/web/src/features/controlLayers/components/Settings/CanvasSettingsDefaultAutoSwitchSelect.tsx,Cursor Agent,"['Cursor Agent', 'Kent Keirsey']",35,AI,2025-07-08T17:19:05+00:00,2
