repository_name,repository_owner,file_name,file_creator,all_creator_names,line_count,created_by,creation_date,commit_count
microsoft/vscode,microsoft,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,Copilot,"['Copilot', 'GitHub']",97,AI,2025-08-16T06:42:16+00:00,33
microsoft/vscode,microsoft,src/vs/editor/common/viewModel/screenReaderSimpleModel.ts,Aiday Marlen Kyzy,"['Aiday Marlen Kyzy', 'GitHub']",16,Human,2025-07-16T18:30:22+00:00,2
microsoft/vscode,microsoft,.vscode/mcp.json,Tyler James Leonhardt,"['Tyler James Leonhardt', 'GitHub']",9,Human,2025-08-16T06:25:13+00:00,3
microsoft/vscode,microsoft,src/vscode-dts/vscode.proposed.chatSessionsProvider.d.ts,Osvaldo Ortega,['Osvaldo Ortega'],129,Human,2025-07-17T16:22:29+00:00,27
microsoft/vscode,microsoft,src/vs/editor/browser/controller/editContext/native/screenReaderContentRich.ts,Aiday Marlen Kyzy,"['Aiday Marlen Kyzy', 'GitHub']",385,Human,2025-07-16T18:30:22+00:00,3
langchain-ai/langchain,langchain-ai,libs/core/tests/unit_tests/utils/test_strings.py,Copilot,"['Copilot', 'GitHub']",49,AI,2025-07-22T00:33:20+00:00,4
langchain-ai/langchain,langchain-ai,libs/langchain/tests/integration_tests/evaluation/embedding_distance/__init__.py,Christophe Bornet,"['Christophe Bornet', 'GitHub']",0,Human,2025-08-12T15:51:31+00:00,1
microsoft/TypeScript,microsoft,tests/baselines/reference/privateFieldsInClassExpressionDeclaration.js,Copilot,"['Copilot', 'GitHub']",44,AI,2025-07-31T22:51:51+00:00,1
microsoft/TypeScript,microsoft,tests/baselines/reference/bigintAmbientMinimal.symbols,Copilot,"['Copilot', 'GitHub']",22,AI,2025-06-25T21:29:50+00:00,1
microsoft/TypeScript,microsoft,tests/cases/fourslash/symbolCompletionLowerPriority.ts,Copilot,"['Copilot', 'GitHub']",20,AI,2025-07-02T21:46:24+00:00,1
microsoft/TypeScript,microsoft,tests/cases/compiler/accessorInAmbientContextES5.ts,Copilot,"['Copilot', 'GitHub']",29,AI,2025-06-25T21:29:02+00:00,1
microsoft/TypeScript,microsoft,tests/baselines/reference/bigintAmbientMinimal.js,Copilot,"['Copilot', 'GitHub']",18,AI,2025-06-25T21:29:50+00:00,1
microsoft/TypeScript,microsoft,tests/baselines/reference/accessorInAmbientContextES5.errors.txt,Copilot,"['Copilot', 'GitHub']",32,AI,2025-06-25T21:29:02+00:00,1
microsoft/TypeScript,microsoft,tests/baselines/reference/privateFieldsInClassExpressionDeclaration.symbols,Copilot,"['Copilot', 'GitHub']",31,AI,2025-07-31T22:51:51+00:00,1
microsoft/TypeScript,microsoft,tests/baselines/reference/accessorInAmbientContextES5.js,Copilot,"['Copilot', 'GitHub']",81,AI,2025-06-25T21:29:02+00:00,1
microsoft/TypeScript,microsoft,tests/baselines/reference/privateFieldsInClassExpressionDeclaration.types,Copilot,"['Copilot', 'GitHub']",55,AI,2025-07-31T22:51:51+00:00,1
microsoft/TypeScript,microsoft,tests/cases/compiler/privateFieldsInClassExpressionDeclaration.ts,Copilot,"['Copilot', 'GitHub']",15,AI,2025-07-31T22:51:51+00:00,1
microsoft/TypeScript,microsoft,tests/cases/compiler/reverseMappedTypeInferenceSameSource1.ts,Mateusz Burzyński,"['Mateusz Burzyński', 'GitHub']",40,Human,2024-07-12T22:50:43+00:00,1
microsoft/TypeScript,microsoft,tests/baselines/reference/nodePackageSelfNameScoped(module=node18).types,Andrew Branch,"['Andrew Branch', 'GitHub']",32,Human,2024-12-13T18:16:23+00:00,1
microsoft/TypeScript,microsoft,tests/baselines/reference/nodeModulesJson(module=nodenext).types,Andrew Branch,"['Andrew Branch', 'GitHub']",129,Human,2024-12-04T16:47:16+00:00,2
microsoft/TypeScript,microsoft,tests/cases/fourslash/server/pasteEdits_rangeSelection7.ts,Isabel Duan,"['Isabel Duan', 'GitHub']",40,Human,2024-10-29T21:05:32+00:00,1
microsoft/TypeScript,microsoft,tests/baselines/reference/asyncGeneratorPromiseNextType.symbols,Ron Buckton,"['Ron Buckton', 'GitHub']",121,Human,2024-08-16T15:55:46+00:00,1
microsoft/TypeScript,microsoft,tests/cases/fourslash/nodeArrayCloneCrash.ts,Isabel Duan,"['Isabel Duan', 'GitHub']",38,Human,2024-07-16T20:50:17+00:00,1
microsoft/TypeScript,microsoft,tests/baselines/reference/contextualPropertyOfGenericFilteringMappedType.symbols,Mateusz Burzyński,"['Mateusz Burzyński', 'GitHub']",90,Human,2024-08-08T15:58:20+00:00,2
microsoft/TypeScript,microsoft,tests/cases/fourslash/completionInChecks1.ts,Mateusz Burzyński,"['Mateusz Burzyński', 'GitHub']",42,Human,2025-02-20T22:01:52+00:00,1
microsoft/TypeScript,microsoft,"tests/baselines/reference/sideEffectImports3(moduledetection=legacy,nouncheckedsideeffectimports=true).js",Jake Bailey,"['Jake Bailey', 'GitHub']",15,Human,2024-07-20T00:35:02+00:00,1
microsoft/TypeScript,microsoft,tests/cases/fourslash/preparePasteEdits_returnFalse.ts,navya9singh,"['navya9singh', 'GitHub']",13,Human,2024-09-26T18:50:23+00:00,1
