repository_name,file_name,file_created_by,file_creator_names,file_line_count,file_creation_date,file_commit_count,commit_message,commit_created_by,commit_author_names,commit_changed_lines,commit_date
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,"Removing history custom node from agents view (#276642)

* Removing history custom node from agents view

* Grouping

* Clean up

* Update src/vs/workbench/contrib/chat/browser/chatSessions/view/sessionsViewPane.ts

Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>

* Review comments

* Using archive instead

* Using map

* Remove id change

---------

Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>",Human,,203,2025-11-13T10:31:44+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,agent sessions - offer action to toggle to the new single view (#274777),Human,,49,2025-11-03T15:28:15+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,"Switch many callers to use `getWidgetBySessionResource` (#274253)

This new version of the function should be preferred as it helps move us further along with using URIs for chat sessions",Human,,52,2025-10-31T07:50:36+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,More plumbing through of session resources instead of ids,Human,,195,2025-10-30T19:37:54+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,Add `IChatDetail.sessionResource`,Human,,75,2025-10-30T17:59:48+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,"More use of session resource instead of ids

This also removes some code that was duplicated to handle local vs contributed sessions",Human,,186,2025-10-29T23:52:21+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,"More clean up to chat session uris

- We will use `vscodeChatEditor` for the `new chat editor` flow
- Keep `vscode-chat-session` but make it clear it's only for local chat sessions
- Get rid of the `target: sessionId` support for chat editors and instead use `vscode-chat-session` uris
- Mark `Session.id` as deprecated as the resource should be preferred",Human,,180,2025-10-29T18:23:26+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,"Extract `localChatSessionType` constant

Makes it easier to maintain and find where local sessions are used",Human,,179,2025-10-28T20:59:41+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,"Merge pull request #273035 from mjbvz/dev/mjbvz/substantial-butterfly

Fix session open in a new window actions",Human,,14,2025-10-24T05:58:49+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,"Disable `open in sidebar` action for non-native sessions

We can only support this for sessions that use our native chat UI. We can't correctly support it for ones that use custom editors or terminals

For now, I'm thinking we should just limit it to local sessions. In the future we could instead allow it for any session with a content provider",Human,,1,2025-10-24T05:36:55+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,Fix session open in a new window actions,Human,,14,2025-10-24T05:28:00+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,"Use URIs to identify sessions (#272013)

* Start work on using URIs to identify sessions

This starts switching us from id+types to use uris to identify chat sessions. I already added very basic support for this but in this next step I think we need a breaking change so that we can avoid adding more and more hacks and complexity to support this

* More work

* Add docs

* Fix indent

* Bump api

* Fix quotes

* Fix tests

* fix compile errors for mockChatSessionService

* Fix mockChatSessionService

* Update getChatSessionType

* Make sure resolver also registers any initial schemes

* add ChatSessionService.hasAnySessionOptions()

---------

Co-authored-by: Peng Lyu <penn.lv@gmail.com>
Co-authored-by: Josh Spicer <23246594+joshspicer@users.noreply.github.com>",Human,,816,2025-10-23T22:16:46+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,chat - first cut of a agent sessions view in one list (#271927),Human,,990,2025-10-22T11:31:16+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,chat - rename actions that move a chat (#271884),Human,,18,2025-10-17T05:46:22+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,"ChatSessions: Select Model (#271728)

* fix merge conflicts

* Modify LanguageModelsService to manage Chat Session ""contributed"" model identifiers

* refactor to sessionModelPickerActionItem

* add missed file

* rename to IChatSessionProviderOptions

* change to provideChatSessionProviderOptions",Human,,589,2025-10-17T03:20:13+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,"Fix cyclic dependency reporting in chat module (#269095)

* fix cyclic dependency in chat land

* make sure cyclic dependencies are correctly reported when running  complie-client task",Human,,19,2025-09-30T15:09:13+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,"Add Alt+Click support to New Chat button for opening chat in editor (#268490)

* Initial plan

* Add alternative action to New Chat button for opening chat in editor

Co-authored-by: digitarald <8599+digitarald@users.noreply.github.com>

* Use ACTION_ID_OPEN_CHAT constant instead of hardcoded string

Co-authored-by: digitarald <8599+digitarald@users.noreply.github.com>

* Replace remaining hardcoded workbench.action.openChat references with ACTION_ID_OPEN_CHAT constant

Co-authored-by: digitarald <8599+digitarald@users.noreply.github.com>

---------

Co-authored-by: copilot-swe-agent[bot] <198982749+Copilot@users.noreply.github.com>
Co-authored-by: digitarald <8599+digitarald@users.noreply.github.com>
Co-authored-by: Harald Kirschner <hkirschner@microsoft.com>",AI,,22,2025-09-30T00:57:00+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,"Refactor: Splitting chat sessions file (#266273)

* Splitting chat sessions class

* Combininb delegate data source and tree renderer",Human,,3724,2025-09-12T02:17:06+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,Refactor of chat sessions and actions (#266244),Human,,334,2025-09-11T19:13:59+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,"Fix chat session disposal error by preventing duplicate widget sessions (#265705)

* Initial plan

* Add duplicate session prevention to chat session actions

Co-authored-by: roblourens <323878+roblourens@users.noreply.github.com>

* Complete session duplication fix for both local and external sessions

Co-authored-by: roblourens <323878+roblourens@users.noreply.github.com>

* Add tests and edge case handling for session duplicate prevention

Co-authored-by: roblourens <323878+roblourens@users.noreply.github.com>

* More

* Fixes to actions

* Also check widget service to detect sessions in sidebar

* Fix OpenChatSessionInSidebarAction

* Remove this

* remove todo

---------

Co-authored-by: copilot-swe-agent[bot] <198982749+Copilot@users.noreply.github.com>
Co-authored-by: roblourens <323878+roblourens@users.noreply.github.com>
Co-authored-by: Rob Lourens <roblourens@gmail.com>
Co-authored-by: Osvaldo Ortega <osortega@microsoft.com>",AI,,272,2025-09-09T21:58:08+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,Removing open chat in new window action (#265066),Human,,12,2025-09-04T03:24:45+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,"Merge pull request #264778 from microsoft/copilot/fix-264671

Fix chat session ""Open to the Side"" to respect user's side-by-side direction preference",Human,,13,2025-09-04T01:05:56+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,Fixes to chat sessions actionbar (#265008),Human,,22,2025-09-03T19:43:07+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,"Allow deleting and renaming history from chat session view (#264797)

* Initial plan

* Add DeleteChatSessionAction and menu registration for chat session history items

Co-authored-by: rebornix <876920+rebornix@users.noreply.github.com>

* Register DeleteChatSessionAction in chat.contribution.ts

Co-authored-by: rebornix <876920+rebornix@users.noreply.github.com>

* Fix delete icon and list refresh bug for chat session deletion

- Changed delete icon from Codicon.trash to Codicon.x as requested
- Fixed list view not updating after deletion by calling notifySessionItemsChanged('local')
- Added IChatSessionsService injection to DeleteChatSessionAction

Co-authored-by: rebornix <876920+rebornix@users.noreply.github.com>

* Group should be context

* Add rename functionality to chat history sessions

Co-authored-by: osortega <48293249+osortega@users.noreply.github.com>

* Proper deletion

* Fix rename functionality for chat history sessions

Co-authored-by: osortega <48293249+osortega@users.noreply.github.com>

* Rename fix

---------

Co-authored-by: copilot-swe-agent[bot] <198982749+Copilot@users.noreply.github.com>
Co-authored-by: rebornix <876920+rebornix@users.noreply.github.com>
Co-authored-by: Osvaldo Ortega <osortega@microsoft.com>
Co-authored-by: osortega <48293249+osortega@users.noreply.github.com>",AI,,176,2025-09-03T04:31:28+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,33,"Fix chat session ""Open to the Side"" to use proper VS Code pattern

Co-authored-by: mjbvz <12821956+mjbvz@users.noreply.github.com>",AI,,11,2025-09-02T23:43:39+00:00
