owner,repository_name,ai_file_count
microsoft,vscode,10
langchain-ai,langchain,1
microsoft,TypeScript,10
nvm-sh,nvm,1
browser-use,browser-use,10
microsoft,autogen,5
mendableai,firecrawl,10
usememos,memos,1
gradio-app,gradio,2
appsmithorg,appsmith,1
calcom,cal.com,10
novuhq,novu,10
dotnet,aspnetcore,10
crewAIInc,crewAI,10
docling-project,docling,1
binarywang,WxJava,6
vercel,turborepo,1
microsoft,graphrag,6
invoke-ai,InvokeAI,10
ComposioHQ,composio,10
remotion-dev,remotion,10
dotnet,maui,10
Tencent,ncnn,7
dotnet,core,1
