repository_name,file_name,file_created_by,file_creator_names,file_line_count,file_creation_date,file_commit_count,commit_message,commit_created_by,commit_author_names,commit_changed_lines,commit_date
Significant-Gravitas/AutoGPT,.github/copilot-instructions.md,AI,"Copilot, GitHub",244,2025-08-21T21:00:19+00:00,2,"docs(frontend): contributing guidelines (#11210)

## Changes 🏗️

Document how to contribute on the Front-end so it is easier for
non-regular contributors.

## Checklist 📋

### For code changes:
- [x] I have clearly listed my changes in the PR description
- [x] I have made a test plan
- [x] I have tested my changes according to the test plan:
- [x] Contribution guidelines make sense and look good considering the
AutoGPT stack

### For configuration changes:

None",Human,,1097,2025-10-21T08:26:51+00:00
Significant-Gravitas/AutoGPT,.github/copilot-instructions.md,AI,"Copilot, GitHub",244,2025-08-21T21:00:19+00:00,2,"feat(platform): Enhance GitHub Copilot agent setup with CI-aligned environment and comprehensive platform documentation integration (#10708)

This PR transforms GitHub Copilot from a general coding assistant into a
platform-specific expert by providing comprehensive onboarding and a
fully configured development environment that mirrors the AutoGPT
platform's CI/CD pipeline.

## Key Features

### CI-Aligned Development Environment
- **Production-Grade Setup**: The `copilot-setup-steps.yml` workflow now
mirrors the platform's CI workflows, providing Copilot with the same
environment used for testing and deployment
- **Essential Services**: Automatically starts Docker services
(PostgreSQL, Redis, RabbitMQ, ClamAV) required for platform development
- **Database Readiness**: Includes Prisma migrations and client
generation to ensure the database is immediately usable
- **Environment Configuration**: Copies default environment files and
validates service health, eliminating manual setup steps

### Comprehensive Platform Knowledge
- **Unified Documentation**: The `copilot-instructions.md` file
integrates knowledge from multiple sources (installer.md,
advanced_setup.md, CLAUDE.md, AGENTS.md) into a single comprehensive
guide
- **Development Patterns**: Includes advanced patterns for block
development, API creation, frontend work, and security implementation
- **Architecture Insights**: Provides deep understanding of the agent
block system, database schema, middleware, and CI/CD workflows
- **Troubleshooting Guide**: Comprehensive error handling and validation
steps based on production experience

### Enhanced Development Workflow
```bash
# Before: Trial-and-error dependency installation
# After: Fully configured environment ready immediately

# Copilot now understands:
poetry run serve                    # Backend server (port 8000)
pnpm dev                           # Frontend server (port 3000)
docker compose up -d               # Essential services
poetry run pytest backend/blocks/test/test_block.py -xvs  # Block validation
```

## Benefits

This configuration provides Copilot with:
- **Immediate Productivity**: No time wasted on environment setup or
dependency discovery
- **Platform Expertise**: Deep understanding of AutoGPT's architecture,
security patterns, and development workflows
- **CI Consistency**: Local development environment matches production
testing environment
- **Comprehensive Context**: Access to all platform documentation and
development patterns in a single source

The setup eliminates the slow trial-and-error process typical of
LLM-based development tools and ensures Copilot works efficiently from
the first interaction.

## References

- [GitHub Copilot Agent Environment
Setup](https://docs.github.com/en/copilot/how-tos/use-copilot-agents/coding-agent/customize-the-agent-environment#preinstalling-tools-or-dependencies-in-copilots-environment)
- [AutoGPT Platform CI Workflows](.github/workflows/)
- [Platform Development Guide](autogpt_platform/CLAUDE.md)

<!-- START COPILOT CODING AGENT TIPS -->
---

💡 You can make Copilot smarter by setting up custom instructions,
customizing its development environment and configuring Model Context
Protocol (MCP) servers. Learn more [Copilot coding agent
tips](https://gh.io/copilot-coding-agent-tips) in the docs.

---------

Co-authored-by: copilot-swe-agent[bot] <198982749+Copilot@users.noreply.github.com>
Co-authored-by: ntindle <8845353+ntindle@users.noreply.github.com>
Co-authored-by: Nicholas Tindle <nicholas.tindle@agpt.co>
Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>
Co-authored-by: Claude <noreply@anthropic.com>
Co-authored-by: Nicholas Tindle <nicktindle@outlook.com>
Co-authored-by: Reinier van der Leer <pwuts@agpt.co>",AI,,546,2025-08-21T21:00:19+00:00
Significant-Gravitas/AutoGPT,.github/workflows/copilot-setup-steps.yml,AI,"Copilot, GitHub",302,2025-08-21T21:00:19+00:00,1,"feat(platform): Enhance GitHub Copilot agent setup with CI-aligned environment and comprehensive platform documentation integration (#10708)

This PR transforms GitHub Copilot from a general coding assistant into a
platform-specific expert by providing comprehensive onboarding and a
fully configured development environment that mirrors the AutoGPT
platform's CI/CD pipeline.

## Key Features

### CI-Aligned Development Environment
- **Production-Grade Setup**: The `copilot-setup-steps.yml` workflow now
mirrors the platform's CI workflows, providing Copilot with the same
environment used for testing and deployment
- **Essential Services**: Automatically starts Docker services
(PostgreSQL, Redis, RabbitMQ, ClamAV) required for platform development
- **Database Readiness**: Includes Prisma migrations and client
generation to ensure the database is immediately usable
- **Environment Configuration**: Copies default environment files and
validates service health, eliminating manual setup steps

### Comprehensive Platform Knowledge
- **Unified Documentation**: The `copilot-instructions.md` file
integrates knowledge from multiple sources (installer.md,
advanced_setup.md, CLAUDE.md, AGENTS.md) into a single comprehensive
guide
- **Development Patterns**: Includes advanced patterns for block
development, API creation, frontend work, and security implementation
- **Architecture Insights**: Provides deep understanding of the agent
block system, database schema, middleware, and CI/CD workflows
- **Troubleshooting Guide**: Comprehensive error handling and validation
steps based on production experience

### Enhanced Development Workflow
```bash
# Before: Trial-and-error dependency installation
# After: Fully configured environment ready immediately

# Copilot now understands:
poetry run serve                    # Backend server (port 8000)
pnpm dev                           # Frontend server (port 3000)
docker compose up -d               # Essential services
poetry run pytest backend/blocks/test/test_block.py -xvs  # Block validation
```

## Benefits

This configuration provides Copilot with:
- **Immediate Productivity**: No time wasted on environment setup or
dependency discovery
- **Platform Expertise**: Deep understanding of AutoGPT's architecture,
security patterns, and development workflows
- **CI Consistency**: Local development environment matches production
testing environment
- **Comprehensive Context**: Access to all platform documentation and
development patterns in a single source

The setup eliminates the slow trial-and-error process typical of
LLM-based development tools and ensures Copilot works efficiently from
the first interaction.

## References

- [GitHub Copilot Agent Environment
Setup](https://docs.github.com/en/copilot/how-tos/use-copilot-agents/coding-agent/customize-the-agent-environment#preinstalling-tools-or-dependencies-in-copilots-environment)
- [AutoGPT Platform CI Workflows](.github/workflows/)
- [Platform Development Guide](autogpt_platform/CLAUDE.md)

<!-- START COPILOT CODING AGENT TIPS -->
---

💡 You can make Copilot smarter by setting up custom instructions,
customizing its development environment and configuring Model Context
Protocol (MCP) servers. Learn more [Copilot coding agent
tips](https://gh.io/copilot-coding-agent-tips) in the docs.

---------

Co-authored-by: copilot-swe-agent[bot] <198982749+Copilot@users.noreply.github.com>
Co-authored-by: ntindle <8845353+ntindle@users.noreply.github.com>
Co-authored-by: Nicholas Tindle <nicholas.tindle@agpt.co>
Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>
Co-authored-by: Claude <noreply@anthropic.com>
Co-authored-by: Nicholas Tindle <nicktindle@outlook.com>
Co-authored-by: Reinier van der Leer <pwuts@agpt.co>",AI,,546,2025-08-21T21:00:19+00:00
Significant-Gravitas/AutoGPT,forge/autogpt/sdk/ai_profile.py,Human,SwiftyOS,25,2023-09-04T14:21:09+00:00,3,Renamed forge module forge from autogpt,Human,,76,2023-09-12T09:00:05+00:00
Significant-Gravitas/AutoGPT,forge/autogpt/sdk/ai_profile.py,Human,SwiftyOS,25,2023-09-04T14:21:09+00:00,3,Addition of Ability Register and Sample Ability (#27),Human,,228,2023-09-05T11:13:29+00:00
Significant-Gravitas/AutoGPT,forge/autogpt/sdk/ai_profile.py,Human,SwiftyOS,25,2023-09-04T14:21:09+00:00,3,Re-Organised project and added benchmark code,Human,,566277,2023-09-04T14:21:09+00:00
Significant-Gravitas/AutoGPT,reports/Turbo/regression_tests.json,Human,,0,,0,,Human,,0,
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,34,"Clean up typings and type checks for chat sessions

For #278114

- Try to simplify the picker item typings in chatActions. Difficult to understand original intent but some fields seem unused and other didn't seem to be working correctly for the `hasKey` checks

- Reuses typings for `IMarshalledChatSessionContext`

- Remove `isLocalChatSessionItem` and check the resource instead",Human,,141,2025-11-18T19:22:06+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,34,"Removing history custom node from agents view (#276642)

* Removing history custom node from agents view

* Grouping

* Clean up

* Update src/vs/workbench/contrib/chat/browser/chatSessions/view/sessionsViewPane.ts

Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>

* Review comments

* Using archive instead

* Using map

* Remove id change

---------

Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>",Human,,203,2025-11-13T10:31:44+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,34,agent sessions - offer action to toggle to the new single view (#274777),Human,,49,2025-11-03T15:28:15+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,34,"Switch many callers to use `getWidgetBySessionResource` (#274253)

This new version of the function should be preferred as it helps move us further along with using URIs for chat sessions",Human,,52,2025-10-31T07:50:36+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,34,More plumbing through of session resources instead of ids,Human,,195,2025-10-30T19:37:54+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,34,Add `IChatDetail.sessionResource`,Human,,75,2025-10-30T17:59:48+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,34,"More use of session resource instead of ids

This also removes some code that was duplicated to handle local vs contributed sessions",Human,,186,2025-10-29T23:52:21+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,34,"More clean up to chat session uris

- We will use `vscodeChatEditor` for the `new chat editor` flow
- Keep `vscode-chat-session` but make it clear it's only for local chat sessions
- Get rid of the `target: sessionId` support for chat editors and instead use `vscode-chat-session` uris
- Mark `Session.id` as deprecated as the resource should be preferred",Human,,180,2025-10-29T18:23:26+00:00
microsoft/vscode,src/vs/workbench/contrib/chat/browser/actions/chatSessionActions.ts,AI,"Copilot, GitHub",97,2025-08-16T06:42:16+00:00,34,"Extract `localChatSessionType` constant

Makes it easier to maintain and find where local sessions are used",Human,,179,2025-10-28T20:59:41+00:00
