repository_name,file_name,file_creators,file_created_by,file_line_count,file_creation_date,file_commit_count,commit_hash,commit_authors,commit_created_by,commit_changed_lines,commit_date,commit_classification,file_specific_changed_lines
microsoft/vscode,src/vs/editor/test/common/languages/defaultDocumentColorsComputer.test.ts,"Copilot, GitHub",AI,102,2025-06-16 17:23:18,2,6aeb5973b6c6c3c6f207ebf35536f7377f1e66df,Matt Bierner,Human,26374,2025-10-15T17:06:36+00:00,fix,8
microsoft/vscode,src/vs/editor/test/common/languages/defaultDocumentColorsComputer.test.ts,"Copilot, GitHub",AI,102,2025-06-16 17:23:18,2,24c0ff16c250f2b39eea8cebd661be2375f61ba5,"Copilot, GitHub",AI,104,2025-06-16T17:23:18+00:00,fix,102
microsoft/vscode,src/vs/workbench/test/browser/notificationsList.test.ts,"Copilot, GitHub",AI,102,2025-06-09 20:01:27,1,4f2559f97fe6a2bf00796d613f33ff258bc4a681,"Copilot, GitHub",AI,145,2025-06-09T20:01:27+00:00,fix,102
microsoft/vscode,src/vs/workbench/contrib/mcp/node/mcpStdioStateHandler.ts,"Copilot, GitHub",AI,94,2025-06-13 01:14:07,3,d86855a64789ccacd2d5a89e2815b2ee869562ad,"Connor Peet, GitHub",Human,124,2025-07-16T23:10:47+00:00,chore,5
microsoft/vscode,src/vs/workbench/contrib/mcp/node/mcpStdioStateHandler.ts,"Copilot, GitHub",AI,94,2025-06-13 01:14:07,3,810f7a00a18aef7c0af592d53955b4e20d28a810,"Connor Peet, GitHub",Human,8,2025-06-13T16:15:00+00:00,fix,8
microsoft/vscode,src/vs/workbench/contrib/mcp/node/mcpStdioStateHandler.ts,"Copilot, GitHub",AI,94,2025-06-13 01:14:07,3,7e4e0f4e55d0d0a2a931aa4e0b7acc518e5da0dd,"Copilot, GitHub",AI,313,2025-06-13T01:14:07+00:00,feat,94
microsoft/vscode,src/vs/workbench/contrib/mcp/test/node/mcpStdioStateHandler.test.ts,"Copilot, GitHub",AI,96,2025-06-13 01:14:07,1,7e4e0f4e55d0d0a2a931aa4e0b7acc518e5da0dd,"Copilot, GitHub",AI,313,2025-06-13T01:14:07+00:00,feat,96
microsoft/vscode,src/vs/workbench/contrib/mcp/browser/openPanelChatAndGetWidget.ts,Connor Peet,Human,27,2025-06-10 18:07:42,2,ece215ea9b72e9dc7819a76d414f972c87113fb8,"Rob Lourens, GitHub",Human,726,2025-09-06T22:26:32+00:00,fix,6
microsoft/vscode,src/vs/workbench/contrib/mcp/browser/openPanelChatAndGetWidget.ts,Connor Peet,Human,27,2025-06-10 18:07:42,2,efce3c699ed0a904315c7df732ba2dc58901ddbb,Connor Peet,Human,49,2025-06-10T18:07:42+00:00,refactor,27
microsoft/vscode,extensions/terminal-suggest/src/completions/set-location.ts,Daniel Imms,Human,27,2025-02-22 15:26:18,2,2a96971a95722bed4954cba1ce8f10daeb958f5c,Daniel Imms,Human,4,2025-02-22T15:27:46+00:00,docs,4
microsoft/vscode,extensions/terminal-suggest/src/completions/set-location.ts,Daniel Imms,Human,27,2025-02-22 15:26:18,2,29b0e1fe3af9936e158eab3ef186174482ed08d1,Daniel Imms,Human,29,2025-02-22T15:26:18+00:00,feat,27
microsoft/vscode,src/vs/workbench/contrib/mcp/common/mcpServerConnection.ts,Connor Peet,Human,145,2025-03-08 18:19:08,12,dace6b32b30da6b9544aebe6b53642e81cf0b17d,"Henning Dieterichs, GitHub",Human,450,2025-09-20T18:29:58+00:00,fix,2
microsoft/vscode,src/vs/workbench/contrib/mcp/common/mcpServerConnection.ts,Connor Peet,Human,145,2025-03-08 18:19:08,12,a4ab5a0bd22cfe43f8b49b2e0fc430e4e5539a30,Connor Peet,Human,341,2025-09-12T20:23:45+00:00,feat,2
microsoft/vscode,src/vs/workbench/contrib/mcp/common/mcpServerConnection.ts,Connor Peet,Human,145,2025-03-08 18:19:08,12,2683ca4a9356fe61b654063ad036a6b8f7eeb661,Connor Peet,Human,78,2025-09-12T17:17:24+00:00,feat,3
microsoft/vscode,src/vs/workbench/contrib/mcp/common/mcpServerConnection.ts,Connor Peet,Human,145,2025-03-08 18:19:08,12,553d42e8f3e95bca56e70555757be2e6e0b083e0,Connor Peet,Human,584,2025-05-28T05:54:29+00:00,feat,15
microsoft/vscode,src/vs/workbench/contrib/mcp/common/mcpServerConnection.ts,Connor Peet,Human,145,2025-03-08 18:19:08,12,6f32ae9604abeab976892c7f12aab7465de2db49,"Connor Peet, GitHub",Human,571,2025-05-17T16:51:31+00:00,feat,4
microsoft/vscode,src/vs/workbench/contrib/mcp/common/mcpServerConnection.ts,Connor Peet,Human,145,2025-03-08 18:19:08,12,029d6a3ba0a2f62f11b763794555a055c87cb2c4,"Connor Peet, GitHub",Human,13,2025-04-01T19:26:40+00:00,fix,13
microsoft/vscode,src/vs/workbench/contrib/mcp/common/mcpServerConnection.ts,Connor Peet,Human,145,2025-03-08 18:19:08,12,8882b2c8dad25aae89d6150529eaa30c70457530,Connor Peet,Human,28,2025-03-21T21:39:28+00:00,fix,13
microsoft/vscode,src/vs/workbench/contrib/mcp/common/mcpServerConnection.ts,Connor Peet,Human,145,2025-03-08 18:19:08,12,33f9c7cb2c1f717ed44b84ac28a2d8306952a115,Connor Peet,Human,101,2025-03-21T18:13:05+00:00,chore,6
microsoft/vscode,src/vs/workbench/contrib/mcp/common/mcpServerConnection.ts,Connor Peet,Human,145,2025-03-08 18:19:08,12,968a6f93879ab1b1bc688318ea782d860ee450c1,"Connor Peet, GitHub",Human,217,2025-03-20T01:08:52+00:00,refactor,21
microsoft/vscode,src/vs/workbench/contrib/mcp/common/mcpServerConnection.ts,Connor Peet,Human,145,2025-03-08 18:19:08,12,5e9acd0b1ac870712c8a7acd553723bd2a152a40,"Connor Peet, GitHub",Human,8,2025-03-19T20:57:03+00:00,fix,3
microsoft/vscode,src/vs/workbench/contrib/mcp/common/mcpServerConnection.ts,Connor Peet,Human,145,2025-03-08 18:19:08,12,1418a96b8e7acdf7609921fcff54eb0069ede5e5,Connor Peet,Human,1262,2025-03-10T22:36:40+00:00,fix,37
microsoft/vscode,src/vs/workbench/contrib/mcp/common/mcpServerConnection.ts,Connor Peet,Human,145,2025-03-08 18:19:08,12,eb700003ebf3797af1de1f9e222478d6d7f7eea3,Connor Peet,Human,2911,2025-03-08T18:19:08+00:00,feat,124
microsoft/vscode,src/vs/workbench/services/treeSitter/browser/treeSitterThemeService.ts,"Alex Ross, GitHub",Human,29,2025-05-23 14:30:38,1,ba42f2d6e776411a27156034c2a5ea68bd8b8078,"Alex Ross, GitHub",Human,9879,2025-05-23T14:30:38+00:00,refactor,29
microsoft/TypeScript,.github/copilot-instructions.md,"Copilot, GitHub",AI,292,2025-06-18 21:43:15,4,666ef27201c0c497770fdd1af4c13049b640ce63,"Copilot, GitHub",AI,33,2025-06-30T22:22:28+00:00,docs,33
microsoft/TypeScript,.github/copilot-instructions.md,"Copilot, GitHub",AI,292,2025-06-18 21:43:15,4,d6c3ac3684f3dd87cab169063c78508cb6b79b21,"Ryan Cavanaugh, GitHub",Human,22,2025-06-25T17:31:27+00:00,docs,22
microsoft/TypeScript,.github/copilot-instructions.md,"Copilot, GitHub",AI,292,2025-06-18 21:43:15,4,6dea899f2b4e9664fecccc6afe7e6ae5cc2af0aa,"Ryan Cavanaugh, GitHub",Human,56,2025-06-24T17:44:30+00:00,docs,55
microsoft/TypeScript,.github/copilot-instructions.md,"Copilot, GitHub",AI,292,2025-06-18 21:43:15,4,479285d0ac293c35a926508d17f0bb5eca7e0303,"Copilot, GitHub",AI,292,2025-06-18T21:43:15+00:00,docs,292
microsoft/TypeScript,tests/baselines/reference/declarationEmitGenericTypeParamerSerialization.js,"Titian Cernicova-Dragomir, GitHub",Human,31,2025-03-14 19:36:08,1,a00b324ab2e9a303e8b2d94f3e0b2f3aa4975a5c,"Titian Cernicova-Dragomir, GitHub",Human,550,2025-03-14T19:36:08+00:00,fix,31
browser-use/browser-use,tests/ci/test_browser_session_file_uploads.py,"claude[bot], GitHub",AI,386,2025-06-16 17:48:26,11,d3570cb3d0fc53e85c14eb65dfe8a584791efff1,Magnus Müller,Human,394,2025-08-27T01:24:30+00:00,test,336
browser-use/browser-use,tests/ci/test_browser_session_file_uploads.py,"claude[bot], GitHub",AI,386,2025-06-16 17:48:26,11,3dcfa7ebb17fe83b6faa377c6c42918e3b94d8bd,Nick Sweeting,Human,51,2025-08-19T20:26:41+00:00,test,3
browser-use/browser-use,tests/ci/test_browser_session_file_uploads.py,"claude[bot], GitHub",AI,386,2025-06-16 17:48:26,11,6fab25c043e486d9c6dd55440b3cf639efb541a1,Nick Sweeting,Human,1473,2025-08-14T21:32:29+00:00,test,5
browser-use/browser-use,tests/ci/test_browser_session_file_uploads.py,"claude[bot], GitHub",AI,386,2025-06-16 17:48:26,11,3bb8fb0feea36a5ec587b35396a4eca538a99d93,Nick Sweeting,Human,1083,2025-08-08T14:15:04+00:00,refactor,27
browser-use/browser-use,tests/ci/test_browser_session_file_uploads.py,"claude[bot], GitHub",AI,386,2025-06-16 17:48:26,11,4826041154230834005162a65be319d0b0ebb74c,Nick Sweeting,Human,1078,2025-08-08T04:48:57+00:00,refactor,6
browser-use/browser-use,tests/ci/test_browser_session_file_uploads.py,"claude[bot], GitHub",AI,386,2025-06-16 17:48:26,11,ebc3a3846f748ac519cd06c658996cccbb0be6af,Nick Sweeting,Human,3442,2025-08-01T05:10:25+00:00,style,6
browser-use/browser-use,tests/ci/test_browser_session_file_uploads.py,"claude[bot], GitHub",AI,386,2025-06-16 17:48:26,11,6c695d0a4269abf660839ffa952e16483dd69e1d,Nick Sweeting,Human,151,2025-06-21T12:39:17+00:00,style,3
browser-use/browser-use,tests/ci/test_browser_session_file_uploads.py,"claude[bot], GitHub",AI,386,2025-06-16 17:48:26,11,f85cdd98bc811640e02dd8ce28305d36e45b55b3,Nick Sweeting,Human,6,2025-06-16T23:38:44+00:00,test,6
browser-use/browser-use,tests/ci/test_browser_session_file_uploads.py,"claude[bot], GitHub",AI,386,2025-06-16 17:48:26,11,1d31cac481e83416a80dea291d463bbcdd604ea3,Nick Sweeting,Human,651,2025-06-16T23:36:06+00:00,test,651
browser-use/browser-use,tests/ci/test_browser_session_file_uploads.py,"claude[bot], GitHub",AI,386,2025-06-16 17:48:26,11,ffea60ad79e93b7cce7d00d00b7e1da46ca76320,Nick Sweeting,Human,179,2025-06-16T22:48:13+00:00,style,179
browser-use/browser-use,tests/ci/test_browser_session_file_uploads.py,"claude[bot], GitHub",AI,386,2025-06-16 17:48:26,11,c16bfa4f65fef51825382d4463e581c781b094c0,"claude[bot], GitHub",AI,386,2025-06-16T17:48:26+00:00,test,386
browser-use/browser-use,tests/test_action_filters.py,Nick Sweeting,Human,243,2025-03-28 02:06:12,8,340bafdd29f574bb7d17c96fc045e1118bba337f,Nick Sweeting,Human,678,2025-06-21T11:47:46+00:00,refactor,0
browser-use/browser-use,tests/test_action_filters.py,Nick Sweeting,Human,243,2025-03-28 02:06:12,8,8ea4b4c71a895b90b1245459a6a711a37582b035,yasithdev,Human,381,2025-06-15T19:08:33+00:00,style,2
browser-use/browser-use,tests/test_action_filters.py,Nick Sweeting,Human,243,2025-03-28 02:06:12,8,96682d8910c1305f8e0d191d0bad929659bda576,Nick Sweeting,Human,42,2025-05-10T01:14:07+00:00,chore,2
browser-use/browser-use,tests/test_action_filters.py,Nick Sweeting,Human,243,2025-03-28 02:06:12,8,192b42ff7977efe004e5dc0ff2d6373b7114056c,lynn,Human,13,2025-04-22T07:43:01+00:00,chore,2
browser-use/browser-use,tests/test_action_filters.py,Nick Sweeting,Human,243,2025-03-28 02:06:12,8,82adf4520df9d15464d9c0e9263278d8c0887123,Nick Sweeting,Human,71,2025-03-28T06:48:01+00:00,fix,49
browser-use/browser-use,tests/test_action_filters.py,Nick Sweeting,Human,243,2025-03-28 02:06:12,8,5535a1ec0aa2171f16f5de9e46770a479eb18692,Nick Sweeting,Human,190,2025-03-28T06:43:31+00:00,chore,44
browser-use/browser-use,tests/test_action_filters.py,Nick Sweeting,Human,243,2025-03-28 02:06:12,8,cc98598fb9fd04ba1aab0030e2e42800a1c57ea4,Nick Sweeting,Human,470,2025-03-28T06:00:25+00:00,test,469
browser-use/browser-use,tests/test_action_filters.py,Nick Sweeting,Human,243,2025-03-28 02:06:12,8,96ffecdd2af43929d75fe3ff030631b97e3e40ac,Nick Sweeting,Human,243,2025-03-28T02:06:12+00:00,test,243
